City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,villa zaragoza,22.0333,-100.7333,24.3,52,56,7.32,MX,1719356017
340,degollado,20.467,-102.1498,22.36,60,81,1.91,MX,1719356018
341,leh,34.1667,77.5833,11.32,40,13,1.79,IN,1719356019
342,brokopondo,4.75,-55.1667,25.96,79,81,1.99,SR,1719356020
343,dryden,49.7833,-92.7503,13.51,93,100,1.11,CA,1719355932
344,caleta de carquin,-11.0925,-77.6267,17.6,81,100,4.1,PE,1719356023
345,lerwick,60.1545,-1.1494,11.0,86,94,1.56,GB,1719356025
346,waynesville,35.4887,-82.9887,30.92,58,0,0.45,US,1719355757
347,stony plain,53.5334,-114.0021,19.84,59,77,3.0,CA,1719356027
348,arraial do cabo,-22.9661,-42.0278,22.98,88,75,3.6,BR,1719356028
349,veraval,20.9,70.3667,29.03,85,100,6.29,IN,1719356029
350,shentala,54.45,51.4833,9.79,90,59,1.9,RU,1719356030
351,hood river,45.7054,-121.5215,34.79,29,0,3.13,US,1719356032
352,dudinka,69.4058,86.1778,21.6,63,25,3.8,RU,1719356023
353,salekhard,66.53,66.6019,16.85,95,94,2.09,RU,1719356034
354,margate,51.3813,1.3862,18.16,86,2,4.17,GB,1719355749
355,zastron,-30.3023,27.084,6.07,57,0,0.44,ZA,1719356036
356,esquina,-30.0144,-59.5272,8.64,77,100,3.71,AR,1719356037
357,laguna,38.421,-121.4238,37.91,15,0,4.12,US,1719356038
358,kailua-kona,19.6406,-155.9956,28.98,82,40,4.63,US,1719355938
359,port augusta,-32.5,137.7667,9.61,78,38,3.34,AU,1719356041
360,namibe,-15.1961,12.1522,20.72,79,3,2.76,AO,1719356042
361,flying fish cove,-10.4217,105.6791,24.82,83,75,5.14,CX,1719356043
362,prado,-17.3411,-39.2208,23.78,84,67,3.64,BR,1719355878
